PV (kW)	10kWh	Converter (kW)	Initial capital	Operating cost ($/yr)	Total NPC	COE ($/kWh)	Renewable fraction	Capacity shortage	
5	2	100	$ 10,600	155	$ 12,587	0.137	1.00	0.39	
5	4	100	$ 11,200	137	$ 12,953	0.137	1.00	0.37	
5	6	100	$ 11,800	127	$ 13,417	0.141	1.00	0.37	
5	8	100	$ 12,400	133	$ 14,099	0.148	1.00	0.36	
5	10	100	$ 13,000	139	$ 14,782	0.154	1.00	0.36	
10	2	100	$ 20,600	303	$ 24,479	0.199	1.00	0.13	
10	4	100	$ 21,200	294	$ 24,962	0.190	1.00	0.06	
10	6	100	$ 21,800	273	$ 25,293	0.190	1.00	0.04	
10	8	100	$ 22,400	254	$ 25,653	0.191	1.00	0.04	
10	10	100	$ 23,000	247	$ 26,152	0.194	1.00	0.03	
15	2	100	$ 30,600	415	$ 35,910	0.278	1.00	0.08	
15	4	100	$ 31,200	405	$ 36,378	0.265	1.00	0.01	
15	6	100	$ 31,800	382	$ 36,685	0.265	1.00	0.00	
15	8	100	$ 32,400	363	$ 37,036	0.267	1.00	0.00	
15	10	100	$ 33,000	354	$ 37,523	0.271	1.00	0.00	
20	2	100	$ 40,600	523	$ 47,287	0.359	1.00	0.06	
20	4	100	$ 41,200	510	$ 47,718	0.345	1.00	0.00	
20	6	100	$ 41,800	486	$ 48,018	0.347	1.00	0.00	
20	8	100	$ 42,400	466	$ 48,358	0.349	1.00	0.00	
20	10	100	$ 43,000	461	$ 48,893	0.353	1.00	0.00	
25	2	100	$ 50,600	630	$ 58,657	0.441	1.00	0.05	
25	4	100	$ 51,200	615	$ 59,062	0.427	1.00	0.00	
25	6	100	$ 51,800	592	$ 59,362	0.428	1.00	0.00	
25	8	100	$ 52,400	571	$ 59,695	0.431	1.00	0.00	
25	10	100	$ 53,000	568	$ 60,264	0.435	1.00	0.00	
30	2	100	$ 60,600	737	$ 70,023	0.523	1.00	0.04	
30	4	100	$ 61,200	721	$ 70,411	0.509	1.00	0.00	
30	6	100	$ 61,800	697	$ 70,712	0.510	1.00	0.00	
30	8	100	$ 62,400	676	$ 71,042	0.513	1.00	0.00	
30	10	100	$ 63,000	675	$ 71,635	0.517	1.00	0.00	
