	PV	Copy ofCustom 10 kWh Battery	Converter	Total Capital Cost	Total NPC	Tot. Ann. Cap. Cost	Tot. Ann. Repl. Cost	Total O&M Cost	Total Fuel Cost	Total Ann. Cost	Operating Cost	COE	PV Production	Tot. Electrical Production	AC Primary Load Served	Ren. Fraction	Cap. Shortage	Cap. Shortage Frac.	Unmet Load	Unmet Load Frac.	Excess Electricity	CO2 Emissions	CO Emissions	UHC Emissions	PM Emissions	SO2 Emissions	NOx Emissions	Battery Autonomy	Battery Throughput	Battery Life
#	kW		kW	$	$	$/yr	$/yr	$/yr	$/yr	$/yr	$/yr	$/kWh	kWh/yr	kWh/yr	kWh/yr		kWh/yr		kWh/yr		kWh/yr	kg/yr	kg/yr	kg/yr	kg/yr	kg/yr	kg/yr	hr	kWh/yr	yr
1	5	2	100	10,600	12,568	829	154	0	0	983	154	0.138	8,246	8,246	7,138	1.00	4,353	0	3,703	0.34	317	0	0	0	0	0	0	14.55	3,400	8.3
2	5	4	100	11,200	12,936	876	136	0	0	1,012	136	0.138	8,246	8,246	7,316	1.00	4,146	0	3,525	0.33	121	0	0	0	0	0	0	29.09	3,600	15.7
3	5	6	100	11,800	13,417	923	127	0	0	1,050	127	0.142	8,246	8,246	7,368	1.00	4,084	0	3,473	0.32	77	0	0	0	0	0	0	43.64	3,659	20.0
4	5	8	100	12,400	14,099	970	133	0	0	1,103	133	0.149	8,246	8,246	7,400	1.00	4,046	0	3,440	0.32	57	0	0	0	0	0	0	58.18	3,695	20.0
5	5	10	100	13,000	14,782	1,017	139	0	0	1,156	139	0.156	8,246	8,246	7,432	1.00	4,008	0	3,408	0.31	38	0	0	0	0	0	0	72.73	3,731	20.0
6	10	2	100	20,600	24,476	1,611	303	0	0	1,915	303	0.199	16,491	16,491	9,600	1.00	1,433	0	1,241	0.11	5,700	0	0	0	0	0	0	14.55	5,336	5.3
7	10	4	100	21,200	24,953	1,658	294	0	0	1,952	294	0.190	16,491	16,491	10,252	1.00	679	0	588	0.05	4,925	0	0	0	0	0	0	29.09	6,068	9.3
8	10	6	100	21,800	25,282	1,705	272	0	0	1,978	272	0.190	16,491	16,491	10,384	1.00	528	0	456	0.04	4,784	0	0	0	0	0	0	43.64	6,216	13.7
9	10	8	100	22,400	25,643	1,752	254	0	0	2,006	254	0.192	16,491	16,491	10,462	1.00	438	0	379	0.03	4,709	0	0	0	0	0	0	58.18	6,304	18.0
10	10	10	100	23,000	26,152	1,799	247	0	0	2,046	247	0.195	16,491	16,491	10,510	1.00	383	0	331	0.03	4,670	0	0	0	0	0	0	72.73	6,358	20.0
11	15	2	100	30,600	35,911	2,394	415	0	0	2,809	415	0.278	24,737	24,737	10,120	1.00	831	0	720	0.07	13,367	0	0	0	0	0	0	14.55	5,578	5.1
12	15	4	100	31,200	36,378	2,441	405	0	0	2,846	405	0.265	24,737	24,737	10,747	1.00	107	0	93	0.01	12,607	0	0	0	0	0	0	29.09	6,282	9.0
13	15	6	100	31,800	36,686	2,488	382	0	0	2,870	382	0.265	24,737	24,737	10,820	1.00	23	0	20	0.00	12,519	0	0	0	0	0	0	43.64	6,364	13.3
14	15	8	100	32,400	37,036	2,535	363	0	0	2,897	363	0.267	24,737	24,737	10,840	1.00	0	0	0	0.00	12,494	0	0	0	0	0	0	58.18	6,387	17.7
15	15	10	100	33,000	37,523	2,581	354	0	0	2,935	354	0.271	24,737	24,737	10,840	1.00	0	0	0	0.00	12,494	0	0	0	0	0	0	72.73	6,387	20.0
